audit_speed,audit_length,audit_height,audit_width,audit_gap,audit_headway,audit_occupancy,vehicleClass
97.0,5200,1860,1570,1052,1198,197,4 ล้อ
87.0,4032,1420,1150,1366,1548,165,4 ล้อ
78.0,10116,3740,2580,4118,4543,463,6 ล้อ
101.0,3193,1530,1320,2234,2446,113,4 ล้อ
82.0,10221,3780,2680,2487,2699,447,6 ล้อ
55.0,8000,3460,2450,8528,8626,467,6 ล้อ
94.0,3862,1550,1610,8946,9110,147,4 ล้อ
75.0,11835,4140,2500,1914,2195,563,มากกว่า 6 
78.0,4953,2710,1720,4182,4346,228,4 ล้อ
75.0,17004,4130,2510,4147,4544,813,มากกว่า 6 
86.0,3949,1280,1570,2168,2317,164,4 ล้อ
79.0,9719,3770,2590,364,462,442,6 ล้อ
88.0,4860,1740,1690,8111,8259,197,4 ล้อ
102.0,4184,1630,800,2544,2675,147,4 ล้อ
47.0,4343,1370,1000,1464,1863,332,4 ล้อ
72.0,9884,3840,2620,11629,12453,492,6 ล้อ
63.0,9547,3980,2570,4198,4312,545,6 ล้อ
67.0,8000,3240,2510,2768,2932,428,มากกว่า 6 
94.0,3407,1410,1560,4726,4824,130,4 ล้อ
84.0,8059,4100,2030,3280,3477,342,6 ล้อ
103.0,4689,2260,1460,3866,4014,162,4 ล้อ
94.0,5000,2270,1550,8993,9174,179,4 ล้อ
73.0,20000,3970,2670,2249,2430,979,มากกว่า 6 
76.0,10818,4090,2500,4902,5066,507,มากกว่า 6 
68.0,14138,4210,2610,10740,10954,746,มากกว่า 6 
66.0,16479,3530,2500,3601,4480,895,มากกว่า 6 
73.0,11834,4090,2080,3382,3649,579,มากกว่า 6 
89.0,6507,3270,2050,50517,50749,260,6 ล้อ
63.0,10500,3790,2560,2966,3163,596,6 ล้อ
66.0,16687,4140,2610,6984,7196,907,มากกว่า 6 
86.0,5000,1880,1530,6380,6511,179,4 ล้อ
60.0,4737,1700,1580,2133,2364,280,4 ล้อ
60.0,16669,4430,2570,3305,3517,992,มากกว่า 6 
72.0,9262,2790,2520,3085,3280,462,มากกว่า 6 
78.0,9669,3790,2560,1634,1782,442,6 ล้อ
69.0,9530,3200,2520,3677,3858,495,มากกว่า 6 
68.0,9426,3800,2550,843,1335,492,6 ล้อ
68.0,16884,4490,2510,3180,3958,890,มากกว่า 6 
65.0,10164,3900,2600,5680,5877,562,6 ล้อ
52.0,10680,3920,2580,2931,3493,730,6 ล้อ
62.0,9550,3690,2620,7794,7975,547,6 ล้อ
20.0,5173,1400,1620,1965,2947,914,4 ล้อ
101.0,5118,1750,1450,1151,1332,182,4 ล้อ
72.0,13000,4110,2520,23178,23392,558,มากกว่า 6 
69.0,9490,3880,2570,17369,17800,491,6 ล้อ
77.0,8087,3840,1480,4780,4911,376,มากกว่า 6 
77.0,9514,3810,2560,6959,7158,442,6 ล้อ
65.0,8002,3390,2560,2701,2865,442,มากกว่า 6 
69.0,16578,4420,2490,16378,16590,857,มากกว่า 6 
40.0,9977,3870,2620,11142,11407,896,มากกว่า 6 
64.0,8279,3700,2490,2231,2546,458,6 ล้อ
70.0,17290,4510,2480,8330,8894,879,มากกว่า 6 
83.0,16414,4060,2560,5045,5243,707,มากกว่า 6 
63.0,17853,4440,2560,4681,4912,1012,มากกว่า 6 
84.0,4216,1580,1570,1098,1296,180,4 ล้อ
85.0,3507,1450,1390,353,534,147,4 ล้อ
75.0,10488,3960,2620,5914,6094,501,มากกว่า 6 
63.0,16406,3440,2550,9407,9602,928,มากกว่า 6 
87.0,16839,4460,2480,9358,9491,695,มากกว่า 6 
38.0,5200,2270,1750,1397,1812,514,4 ล้อ
28.0,5200,1720,1710,2853,3467,746,4 ล้อ
58.0,11145,4080,2510,47541,48553,691,6 ล้อ
84.0,8000,2540,2340,8746,8844,316,6 ล้อ
89.0,4069,1400,1550,2830,3062,164,4 ล้อ
61.0,8000,2630,1970,903,2012,395,6 ล้อ
77.0,8000,3400,2330,7193,7675,309,6 ล้อ
38.0,8000,2460,2360,7911,8226,696,6 ล้อ
64.0,10169,3820,2610,25449,25662,563,6 ล้อ
91.0,4153,1690,1640,1618,1749,163,4 ล้อ
114.0,4179,1420,1490,44891,45070,130,4 ล้อ
98.0,4950,1700,1500,20267,20398,180,4 ล้อ
77.0,8000,3420,2440,2615,2796,347,6 ล้อ
72.0,8000,3350,2450,4553,4966,360,6 ล้อ
46.0,16576,4500,2580,3354,4258,1295,มากกว่า 6 
63.0,10156,3790,2620,9342,9524,580,6 ล้อ
68.0,9800,3880,2570,3514,3694,513,6 ล้อ
85.0,9141,3030,2430,2832,3029,385,6 ล้อ
63.0,17109,3560,2480,19950,20181,964,มากกว่า 6 
74.0,9233,3630,2570,1064,1229,447,6 ล้อ
107.0,4945,1640,1380,788,936,165,4 ล้อ
87.0,5162,1850,1590,1130,1328,213,4 ล้อ
84.0,9546,3910,2600,8676,8858,408,6 ล้อ
69.0,9974,3890,2580,5629,5760,513,6 ล้อ
68.0,17421,4470,2510,6727,7026,912,มากกว่า 6 
66.0,11018,3900,2620,4168,4316,598,6 ล้อ
83.0,4520,2740,1470,1865,2030,194,4 ล้อ
72.0,9683,3740,1960,1983,2180,479,6 ล้อ
76.0,8000,3410,2260,1447,1661,261,6 ล้อ
80.0,6669,2900,1910,1117,1298,297,6 ล้อ
68.0,18499,3960,2630,1186,2183,974,มากกว่า 6 
69.0,13318,4180,2570,12123,12318,691,มากกว่า 6 
79.0,4306,1870,1570,2101,2298,195,4 ล้อ
68.0,13162,3980,2530,2303,3217,695,มากกว่า 6 
60.0,17707,3610,2680,39772,40203,1058,มากกว่า 6 
72.0,17482,4470,2450,9297,9657,868,มากกว่า 6 
79.0,10577,3850,2620,3266,3743,480,6 ล้อ
80.0,4770,1950,1590,617,800,213,4 ล้อ
96.0,4790,2850,1170,3794,3958,178,4 ล้อ
57.0,16215,4450,2480,6914,7161,1011,มากกว่า 6 
71.0,15718,4080,2500,7948,8129,791,มากกว่า 6 
75.0,10484,3890,2610,5096,5292,498,6 ล้อ
76.0,9818,3750,2500,14366,14549,463,6 ล้อ
38.0,5200,1820,1830,806,1188,497,4 ล้อ
83.0,9659,3560,2490,9846,10059,414,6 ล้อ
70.0,10323,3820,2610,1051,1233,530,6 ล้อ
112.0,4047,1740,1680,3985,4149,129,4 ล้อ
69.0,15316,4070,2510,3702,4609,791,มากกว่า 6 
118.0,5200,1750,1500,2136,2250,164,4 ล้อ
71.0,10805,3780,2640,10190,10404,543,มากกว่า 6 
79.0,5094,1690,1630,3036,3234,230,4 ล้อ
100.0,5028,1630,1880,3281,3379,179,4 ล้อ
105.0,3817,1410,1450,953,1117,130,4 ล้อ
46.0,9772,3560,2220,1701,2083,763,6 ล้อ
96.0,3956,1420,1420,1314,1480,147,4 ล้อ
88.0,4850,1620,1730,5746,5861,197,4 ล้อ
96.0,3949,1440,1510,3032,3196,147,4 ล้อ
40.0,9818,3200,2390,3765,4261,862,มากกว่า 6 
39.0,11281,4030,2630,3099,3630,1034,6 ล้อ
0.0,0,3820,2530,3752,4563,1684,มากกว่า 6 
34.0,4466,1360,1650,501,916,464,4 ล้อ
83.0,9874,3960,2580,4563,4696,425,6 ล้อ
96.0,3974,1560,1530,5375,5506,147,4 ล้อ
57.0,16606,3540,2340,3119,4161,1046,มากกว่า 6 
78.0,9660,3460,2550,2414,2595,444,มากกว่า 6 
46.0,4266,1450,1440,686,1033,331,4 ล้อ
82.0,4445,3000,1850,1289,1403,194,4 ล้อ
90.0,9091,3770,2050,2750,2882,362,6 ล้อ
76.0,11756,3860,2670,2661,2859,550,6 ล้อ
76.0,4501,1910,1500,1253,1417,213,4 ล้อ
22.0,5191,1920,1670,1195,1978,847,4 ล้อ
78.0,18000,4460,2540,4332,4595,823,มากกว่า 6 
102.0,4660,1610,1810,68632,68763,163,4 ล้อ
82.0,17453,3930,2670,3435,3600,758,มากกว่า 6 
74.0,10214,3860,2600,3981,4131,496,6 ล้อ
93.0,8000,3050,2420,4188,4646,295,6 ล้อ
75.0,8235,3350,2540,5915,6079,393,มากกว่า 6 
94.0,4760,1740,1670,14019,14168,180,4 ล้อ
20.0,16251,4150,2530,2714,3329,2800,มากกว่า 6 
111.0,5067,1940,1570,1212,1394,164,4 ล้อ
67.0,18000,3270,2370,13162,13655,1169,มากกว่า 6 
71.0,16785,4450,2460,6915,7063,845,มากกว่า 6 
83.0,9433,3750,2590,13077,13275,408,6 ล้อ
70.0,10641,3830,2580,12069,12267,543,6 ล้อ
66.0,12357,3600,2540,1056,1499,664,มากกว่า 6 
31.0,5060,2060,1700,3363,3745,581,4 ล้อ
61.0,17356,4190,2470,10356,10554,1014,มากกว่า 6 
67.0,16398,4460,2570,853,1116,879,มากกว่า 6 
80.0,4716,2810,1670,2728,2926,211,4 ล้อ
49.0,13000,4190,2550,1522,1802,929,มากกว่า 6 
68.0,10026,3630,2540,10510,10755,529,6 ล้อ
69.0,9600,2690,2490,7512,7958,499,มากกว่า 6 
87.0,4792,1760,1830,1263,1479,197,4 ล้อ
57.0,4777,1680,1650,964,1264,297,4 ล้อ
88.0,5000,2080,1570,6197,6345,179,4 ล้อ
10.0,3777,1450,1700,3698,5748,1298,4 ล้อ
66.0,9549,3750,2510,572,853,513,6 ล้อ
112.0,5200,1740,1730,4329,4527,181,4 ล้อ
101.0,5034,2720,1750,24859,24924,178,4 ล้อ
102.0,4710,1800,1380,1051,1181,165,4 ล้อ
64.0,19563,4040,2670,9357,9523,1091,มากกว่า 6 
66.0,17182,3480,2690,9877,9991,929,มากกว่า 6 
18.0,8792,2630,2090,3732,4448,1730,มากกว่า 6 
91.0,4150,1800,1630,1669,1833,163,4 ล้อ
91.0,4181,1430,1250,5614,5762,164,4 ล้อ
83.0,10114,3770,2510,969,1133,434,6 ล้อ
62.0,9381,3650,2420,2214,2379,544,6 ล้อ
68.0,16681,3350,2570,1799,2031,878,มากกว่า 6 
71.0,10190,3740,2550,589,787,513,6 ล้อ
88.0,9810,3760,2540,9990,10336,397,มากกว่า 6 
92.0,3810,1440,870,3542,3707,148,4 ล้อ
84.0,5000,2080,1460,14347,14563,197,4 ล้อ
44.0,6903,2940,2280,4782,5097,563,6 ล้อ
84.0,17200,4460,2470,25087,25319,729,มากกว่า 6 
60.0,10625,3940,2580,730,1330,629,มากกว่า 6 
72.0,9719,3870,2640,16852,17050,480,มากกว่า 6 
64.0,12500,3920,2550,2548,3095,742,มากกว่า 6 
123.0,5046,1770,1060,2783,2914,147,4 ล้อ
60.0,8938,3100,2530,2025,2968,529,6 ล้อ
107.0,4886,1750,1380,3085,3428,164,4 ล้อ
110.0,4482,2280,1560,2915,3064,145,4 ล้อ
44.0,16507,4380,2500,2246,2578,1342,มากกว่า 6 
69.0,16692,4510,2450,156992,157172,862,มากกว่า 6 
74.0,7856,3010,2510,3343,3442,379,6 ล้อ
74.0,9102,3890,2590,1920,2084,441,6 ล้อ
71.0,8576,3130,2200,9376,9541,429,มากกว่า 6 
63.0,16036,4140,2490,19589,20514,908,มากกว่า 6 
82.0,5200,1890,1550,1737,1951,233,4 ล้อ
94.0,5183,1440,1460,2283,2431,197,4 ล้อ
25.0,16523,3540,2500,1491,3782,2347,มากกว่า 6 
87.0,3575,1580,1740,801,949,147,4 ล้อ
67.0,10319,3960,2600,5794,6360,548,6 ล้อ
70.0,9048,2800,2490,3816,4112,461,มากกว่า 6 
63.0,8151,2960,2030,4415,4680,463,6 ล้อ
63.0,9667,3840,2610,3713,3945,547,6 ล้อ
93.0,8587,3580,1750,4697,4878,330,6 ล้อ
68.0,9407,3970,2600,11345,11509,491,มากกว่า 6 
63.0,13000,3980,2430,7462,7776,613,มากกว่า 6 
75.0,9282,2600,2520,1386,1633,445,มากกว่า 6 
87.0,5573,2700,1570,2282,2446,229,6 ล้อ
65.0,15947,4060,2550,7228,7575,875,มากกว่า 6 
78.0,15841,4110,2520,4574,4982,724,มากกว่า 6 
65.0,10332,3830,2380,3549,3746,570,มากกว่า 6 
83.0,8397,2740,2680,9247,9411,361,6 ล้อ
68.0,18170,3790,2590,3816,4031,959,มากกว่า 6 
96.0,5200,2430,1660,999,1180,197,4 ล้อ
88.0,4778,2590,1740,3594,3789,195,4 ล้อ
78.0,8260,2710,2530,12843,13026,379,มากกว่า 6 
66.0,8172,3420,2420,3002,4126,442,6 ล้อ
59.0,10651,3440,2550,1549,2247,645,6 ล้อ
58.0,9355,3860,2450,4280,4494,575,6 ล้อ
0.0,0,3510,2240,5198,5829,27292,มากกว่า 6 
73.0,13000,4240,2490,1769,1852,541,มากกว่า 6 
80.0,9248,3620,2510,6309,6507,414,6 ล้อ
78.0,10430,3730,2520,1749,2596,480,6 ล้อ
61.0,17285,4130,2540,612,1814,1012,มากกว่า 6 
75.0,8000,3160,2300,18683,18814,359,6 ล้อ
81.0,7054,2570,2260,1084,1400,312,6 ล้อ
96.0,3972,1620,1540,1034,1182,147,4 ล้อ
58.0,10039,3740,2510,5077,5309,617,6 ล้อ
59.0,9832,3810,2580,1667,1899,596,6 ล้อ
97.0,3992,1430,1540,1446,1595,147,4 ล้อ
97.0,4433,1640,1760,668,799,163,4 ล้อ
56.0,17761,4070,2580,38801,39649,1130,มากกว่า 6 
73.0,16947,3600,2250,9141,9370,829,มากกว่า 6 
85.0,18000,3560,2550,1450,1599,767,มากกว่า 6 
68.0,4695,1930,1310,1481,1728,247,4 ล้อ
65.0,7188,2240,2440,5232,5379,396,6 ล้อ
56.0,18000,3490,2610,6483,6615,1150,มากกว่า 6 
65.0,15934,4440,2460,9206,9387,874,มากกว่า 6 
0.0,0,1800,1810,6194,8759,20581,4 ล้อ
37.0,17022,4430,2490,3661,4142,1645,มากกว่า 6 
77.0,9831,3850,2560,4696,4877,459,6 ล้อ
77.0,9468,4080,2570,2786,2950,441,6 ล้อ
88.0,4866,1710,1620,2866,3031,198,4 ล้อ
54.0,6762,2470,2120,6168,6694,446,6 ล้อ
75.0,11780,4250,2480,8210,8374,559,มากกว่า 6 
44.0,12495,4230,1910,1732,2660,1010,มากกว่า 6 
88.0,5200,2140,1330,3402,3582,215,4 ล้อ
66.0,8720,3750,2640,11642,11823,474,6 ล้อ
28.0,8000,2620,1960,1539,3716,979,6 ล้อ
96.0,3470,1570,1490,2067,2215,130,4 ล้อ
70.0,16747,3930,2710,18320,18533,859,มากกว่า 6 
88.0,10982,3860,2570,4076,4374,445,6 ล้อ
81.0,6692,2120,2160,2217,3025,296,6 ล้อ
72.0,8000,3040,2320,3014,3178,378,6 ล้อ
40.0,4783,1660,1710,1717,2098,430,4 ล้อ
74.0,4443,1720,1210,1287,1484,214,4 ล้อ
64.0,4185,1460,1570,699,931,231,4 ล้อ
70.0,9309,3770,2590,4259,4525,475,6 ล้อ
78.0,9701,3780,2550,6446,6676,445,6 ล้อ
99.0,3595,1420,1580,12256,12439,130,4 ล้อ
65.0,9303,3850,2640,1020,1265,507,6 ล้อ
89.0,4001,2540,1650,7028,7159,161,4 ล้อ
83.0,8000,3430,2590,3278,3477,330,6 ล้อ
64.0,9355,3680,2660,9259,9490,525,6 ล้อ
68.0,15644,4470,2550,3484,3647,823,มากกว่า 6 
42.0,18345,4080,2660,3732,4113,1547,มากกว่า 6 
73.0,8690,3830,2510,4568,4732,425,มากกว่า 6 
84.0,12077,3390,2560,11639,11887,515,มากกว่า 6 
59.0,18151,3930,2490,12084,12499,1091,มากกว่า 6 
68.0,5000,2680,1680,1584,1780,245,4 ล้อ
94.0,3009,1220,1440,10091,10222,114,4 ล้อ
74.0,5000,2180,1970,8177,8325,195,6 ล้อ
82.0,9913,3300,2330,41063,41476,433,มากกว่า 6 
81.0,4462,1780,1710,1868,2032,196,4 ล้อ
100.0,4606,1440,1520,2129,2293,164,4 ล้อ
70.0,10372,3830,2480,1815,2846,530,6 ล้อ
118.0,3787,1530,840,11689,11869,114,4 ล้อ
38.0,5200,1840,1740,1313,2310,864,4 ล้อ
63.0,9009,3740,2530,12805,12986,508,6 ล้อ
61.0,9282,3810,2590,6087,6562,541,6 ล้อ
74.0,12975,3780,1410,3199,3430,629,6 ล้อ
99.0,4443,2520,1700,3415,3546,161,4 ล้อ
77.0,14814,4080,2500,4945,5143,690,มากกว่า 6 
45.0,17505,4510,2490,2615,3047,1378,มากกว่า 6 
72.0,10702,3880,2260,5662,5909,530,6 ล้อ
75.0,16411,3640,2450,3397,3544,779,มากกว่า 6 
33.0,5200,1720,1690,2335,2983,580,4 ล้อ
69.0,9143,3840,2470,1568,2112,475,6 ล้อ
93.0,5000,2790,1680,650,782,178,4 ล้อ
110.0,4523,1600,1320,5242,5373,147,4 ล้อ
69.0,15795,4450,2500,548,713,823,มากกว่า 6 
68.0,9174,3360,2480,13400,13616,480,6 ล้อ
72.0,9228,3690,2570,8871,9088,458,6 ล้อ
73.0,12500,3520,2500,6348,6580,644,มากกว่า 6 
57.0,10054,3530,2290,7723,7887,635,มากกว่า 6 
70.0,9560,3900,2580,2359,2818,491,6 ล้อ
64.0,10952,3810,2650,1632,2263,613,6 ล้อ
99.0,5000,2920,1460,1748,1913,161,4 ล้อ
32.0,10267,3890,2610,2481,2946,1130,6 ล้อ
82.0,4951,970,430,5496,5695,215,4 ล้อ
97.0,3526,1420,1630,2554,2735,130,4 ล้อ
78.0,10468,3820,2580,3129,3295,480,6 ล้อ
95.0,4800,1790,1570,1120,1317,180,4 ล้อ
63.0,17026,3250,2650,797,996,961,มากกว่า 6 
80.0,4809,1690,1660,3633,3831,214,4 ล้อ
71.0,18371,3960,2520,5100,6127,924,มากกว่า 6 
75.0,8869,3790,2590,2600,2811,424,6 ล้อ
26.0,18978,4060,2570,1499,2214,2567,มากกว่า 6 
62.0,9829,3810,2630,7472,7737,564,6 ล้อ
70.0,8372,3660,2440,1253,1932,426,6 ล้อ
55.0,16677,4170,2520,9164,9790,1083,มากกว่า 6 
62.0,16981,4490,2500,3665,3813,977,มากกว่า 6 
46.0,16533,4170,2110,1983,2281,1275,มากกว่า 6 
74.0,9259,3780,2590,771,969,445,6 ล้อ
104.0,8000,3570,2300,4382,5174,263,6 ล้อ
77.0,8824,3840,2590,18515,18646,408,6 ล้อ
76.0,9392,3840,2600,19321,19518,441,6 ล้อ
73.0,10101,3910,2640,18648,18814,496,6 ล้อ
86.0,4658,2850,1690,5248,5413,194,4 ล้อ
107.0,3929,1400,1250,7832,7963,131,4 ล้อ
51.0,16111,4510,2500,4299,4578,1123,มากกว่า 6 
64.0,9122,3850,2590,9762,9960,508,6 ล้อ
76.0,6966,2630,1960,1398,1610,330,6 ล้อ
69.0,9754,3890,2590,4528,5477,508,6 ล้อ
109.0,4973,1810,1370,41191,41307,163,4 ล้อ
67.0,10373,4080,2610,10738,11684,552,6 ล้อ
81.0,4439,1920,1660,1100,1282,197,4 ล้อ
103.0,4680,2620,1480,4712,4894,162,4 ล้อ
76.0,3476,1450,1500,1372,1536,163,4 ล้อ
67.0,16322,4480,2510,7946,8110,874,มากกว่า 6 
86.0,4391,1430,1390,1299,1447,181,4 ล้อ
63.0,16326,4080,2510,8692,8823,926,มากกว่า 6 
65.0,6910,2760,1950,2535,2747,380,6 ล้อ
87.0,9543,3800,2510,9925,10454,392,6 ล้อ
69.0,12147,4090,2100,2018,2648,627,6 ล้อ
82.0,4174,1420,1580,1302,1466,181,4 ล้อ
72.0,11531,3800,2340,1134,1615,575,6 ล้อ
89.0,4045,1780,1740,7781,7945,163,4 ล้อ
74.0,16821,4460,2470,7005,7713,812,มากกว่า 6 
95.0,4336,1790,1740,5696,5861,163,4 ล้อ
52.0,6711,2640,1950,4626,5277,461,6 ล้อ
78.0,5711,2230,1610,1802,2232,263,4 ล้อ
66.0,10055,3820,2520,2151,2564,547,6 ล้อ
95.0,4328,1780,1690,1450,1631,163,4 ล้อ
79.0,14868,4010,2500,4642,4857,674,มากกว่า 6 
30.0,5022,2180,1800,3812,4461,597,4 ล้อ
64.0,11898,4070,2530,8927,9328,663,มากกว่า 6 
79.0,17533,3990,2500,5248,5396,797,มากกว่า 6 
75.0,8999,2810,2650,11340,11519,428,มากกว่า 6 
75.0,8600,3750,2470,2149,2280,407,6 ล้อ
73.0,16146,4430,2500,3182,3329,795,มากกว่า 6 
78.0,8000,3470,1980,5850,6014,326,6 ล้อ
72.0,9294,3800,2590,5442,5606,458,6 ล้อ
66.0,9363,3980,2630,3517,3765,507,มากกว่า 6 
87.0,4756,2470,1960,2246,2394,195,4 ล้อ
74.0,8130,3660,2410,6184,6348,392,มากกว่า 6 
66.0,11286,3950,2620,1184,1451,613,6 ล้อ
82.0,4105,1660,1550,1150,1365,180,4 ล้อ
51.0,8000,3880,2080,1099,1429,475,6 ล้อ
64.0,10097,3930,2600,3184,4195,559,มากกว่า 6 
90.0,2845,1500,1370,4910,5058,113,4 ล้อ
75.0,10905,3770,2460,41777,41942,519,6 ล้อ
70.0,10426,4060,2640,4802,4950,528,มากกว่า 6 
77.0,11037,3850,2560,3941,4782,513,6 ล้อ
74.0,11544,4170,2500,6639,6817,558,มากกว่า 6 
112.0,4603,1780,1480,1502,1666,147,4 ล้อ
56.0,8000,2720,2550,26077,27140,512,มากกว่า 6 
84.0,8387,3710,2150,1017,1314,359,6 ล้อ
76.0,8000,3180,2390,5016,5264,330,6 ล้อ
80.0,10021,3430,2630,5319,5366,449,มากกว่า 6 
71.0,7539,3120,2370,2966,3131,381,6 ล้อ
57.0,9742,3810,2480,5981,6910,613,6 ล้อ
62.0,17436,4450,2660,73128,73324,1010,มากกว่า 6 
74.0,19597,3910,2650,7759,7974,946,มากกว่า 6 
85.0,4276,1760,1690,1603,1768,180,4 ล้อ
76.0,12500,3860,2470,3618,4149,597,มากกว่า 6 
88.0,4023,1750,1670,1162,1327,163,4 ล้อ
71.0,18000,4060,2510,3705,3934,907,มากกว่า 6 
64.0,9345,3810,2610,2819,3300,525,6 ล้อ
58.0,9378,3990,2120,563,812,575,6 ล้อ
95.0,3458,1390,1580,1568,1682,130,4 ล้อ
91.0,3727,1580,1470,2786,2967,147,4 ล้อ
74.0,9229,2470,2550,5562,5761,446,6 ล้อ
60.0,17472,4080,2560,3402,3664,1041,มากกว่า 6 
81.0,17739,4060,2490,3501,3715,779,มากกว่า 6 
72.0,16712,4040,2550,3001,3265,824,มากกว่า 6 
85.0,3493,1460,1550,1484,1681,147,4 ล้อ
71.0,17411,4420,2510,1118,1265,879,มากกว่า 6 
63.0,8000,3280,2400,2213,2777,363,6 ล้อ
89.0,8114,3810,2160,3270,3434,325,6 ล้อ
77.0,9137,3770,2590,2017,2198,424,6 ล้อ
37.0,8000,3010,2370,4015,4565,746,6 ล้อ
64.0,10026,3820,2520,2633,2929,563,6 ล้อ
73.0,9298,3810,2600,5227,5358,458,6 ล้อ
88.0,10074,3980,2580,687,769,410,6 ล้อ
67.0,9267,3990,2620,9729,9958,491,6 ล้อ
81.0,8157,3450,2480,2000,2211,359,6 ล้อ
62.0,15361,4060,2470,2486,2650,890,มากกว่า 6 
73.0,12500,3930,2580,1519,1700,641,มากกว่า 6 
44.0,8000,3140,2440,3652,4033,459,6 ล้อ
33.0,6214,3140,1900,1919,2352,664,6 ล้อ
61.0,17721,3110,2590,3560,4159,1032,มากกว่า 6 
78.0,11525,3430,2580,12178,12603,528,มากกว่า 6 
73.0,8000,3340,2480,3719,3980,360,6 ล้อ
65.0,16313,4460,2520,2547,2696,891,มากกว่า 6 
78.0,16520,4500,2540,2236,2450,757,มากกว่า 6 
93.0,5000,2200,1720,3266,3397,162,4 ล้อ
79.0,15280,4470,2270,505,704,690,มากกว่า 6 
92.0,3770,1710,1530,1467,1648,146,4 ล้อ
73.0,10030,3820,2600,9988,10220,493,6 ล้อ
76.0,3482,1450,1520,1548,1761,164,4 ล้อ
94.0,4332,1770,1660,4379,4510,164,4 ล้อ
88.0,4012,1660,1500,1782,1946,164,4 ล้อ
112.0,3558,1420,1470,1407,1569,113,4 ล้อ
68.0,8388,3430,2510,20881,21076,443,6 ล้อ
69.0,16776,4120,2480,1285,1532,875,มากกว่า 6 
79.0,3627,1380,1520,871,1119,163,4 ล้อ
56.0,15624,3070,2490,1345,1495,995,มากกว่า 6 
71.0,8443,3350,2490,5184,5449,426,6 ล้อ
63.0,16197,4070,2510,7640,7855,925,มากกว่า 6 
87.0,3162,1420,1310,3449,3614,130,4 ล้อ
89.0,3645,1450,1740,1505,1652,147,4 ล้อ
68.0,10999,3820,2590,8423,8572,580,มากกว่า 6 
59.0,16395,3650,2440,2115,2363,994,มากกว่า 6 
61.0,16727,4480,2490,7458,7939,979,มากกว่า 6 
105.0,4287,1640,1830,1017,1181,146,4 ล้อ
74.0,16806,3280,2460,16386,16519,816,มากกว่า 6 
65.0,18000,3560,2500,6444,6608,1117,มากกว่า 6 
56.0,9916,3800,2570,3329,3594,630,6 ล้อ
26.0,8000,3230,2370,2334,2849,1050,6 ล้อ
91.0,3333,1440,1530,1066,1245,130,4 ล้อ
64.0,16110,3470,2530,14523,15381,896,มากกว่า 6 
80.0,17647,4450,2510,3236,3713,791,มากกว่า 6 
74.0,18572,3950,2540,2307,3232,899,มากกว่า 6 
43.0,9662,3960,2620,1399,1715,791,6 ล้อ
66.0,4835,2800,1720,1020,1284,262,4 ล้อ
105.0,5000,2260,1780,10259,10390,162,4 ล้อ
110.0,5008,1670,1740,3533,3714,163,4 ล้อ
93.0,4644,2780,1660,1935,2150,178,4 ล้อ
71.0,17000,3620,1600,2502,2866,827,มากกว่า 6 
76.0,8000,3410,2480,11592,12072,375,6 ล้อ
71.0,8000,2470,2430,6531,6729,362,6 ล้อ
88.0,4431,1790,1690,2435,2584,180,4 ล้อ
69.0,8948,3510,2530,2702,3050,463,6 ล้อ
85.0,5000,2250,1450,1964,2112,162,4 ล้อ
100.0,5047,1680,1640,1232,1380,181,4 ล้อ
75.0,20000,4510,2560,7096,7227,999,มากกว่า 6 
80.0,12208,3910,2600,3101,3609,546,มากกว่า 6 
86.0,5141,2130,1480,617,799,214,4 ล้อ
77.0,8000,3900,2500,3848,4063,358,มากกว่า 6 
74.0,17066,4070,2520,5065,5442,824,มากกว่า 6 
116.0,4196,1790,1690,3010,3142,130,4 ล้อ
75.0,10079,3880,2570,14239,14437,479,6 ล้อ
105.0,5200,1670,1260,4418,4532,182,4 ล้อ
100.0,4570,1780,1420,3648,3812,164,4 ล้อ
77.0,18686,3190,2640,1784,1997,866,มากกว่า 6 
74.0,8000,3540,2280,2368,2566,312,6 ล้อ
89.0,3233,1400,1330,1084,1247,130,4 ล้อ
78.0,18000,4490,2510,16901,17116,824,มากกว่า 6 
108.0,4429,1450,1440,6379,6477,147,4 ล้อ
9.0,8000,3170,2450,1665,4511,2602,มากกว่า 6 
68.0,8808,3770,1480,60955,61136,459,6 ล้อ
96.0,3039,1510,1430,3401,3532,113,4 ล้อ
63.0,9320,3780,2480,6229,6343,527,6 ล้อ
78.0,9730,3820,2610,4629,4760,446,6 ล้อ
97.0,4891,1430,1770,1236,1367,180,4 ล้อ
69.0,8000,2940,2380,7511,7659,327,6 ล้อ
94.0,4290,1780,1630,1168,1348,163,4 ล้อ
80.0,4769,1610,1710,2980,3178,213,4 ล้อ
26.0,13000,4180,2370,2151,2667,1492,มากกว่า 6 
75.0,9937,3890,2560,1614,1812,474,6 ล้อ
85.0,8983,3280,2600,19853,19984,380,มากกว่า 6 
65.0,9868,3910,2600,2915,3445,542,6 ล้อ
64.0,8937,3400,2390,1870,2019,500,6 ล้อ
74.0,8000,3060,2240,2965,3163,345,6 ล้อ
80.0,9182,3820,2600,13134,13283,412,6 ล้อ
82.0,9218,2790,2490,3737,4000,401,6 ล้อ
99.0,4069,1750,1050,3251,3432,147,4 ล้อ
61.0,12500,4210,2320,3399,4529,813,มากกว่า 6 
